Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1739434575,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1739434576,1,,Aggregated,0.000000,0.000000,4,4,210,210,210,210,210,210,210,210,210,3,0,4.161711782217026,74.04551468789577,4.161711782217026,213.61720375716686,3.0
1739434577,2,,Aggregated,0.000000,0.000000,4,4,4,4,8,210,340,340,340,340,340,29,0,4,22.960205915673026,2.0110197365283966,341.41981415450573,3.7586206896551726
1739434578,2,,Aggregated,0.000000,0.000000,4,4,4,4,5,8,210,340,340,340,340,52,0,4,14.455741468387155,2.0110197365283966,341.41981415450573,3.423076923076923
1739434579,2,,Aggregated,3.000000,0.000000,4,4,4,4,7,9,210,340,340,340,340,67,0,4,12.254099264296133,2.0110197365283966,341.41981415450573,4.313432835820896
1739434580,2,,Aggregated,17.333333,0.000000,4,4,4,4,5,9,210,340,340,340,340,84,0,4,10.639255068131856,2.0110197365283966,341.41981415450573,4.309523809523809
1739434581,2,,Aggregated,16.750000,0.000000,4,4,4,4,5,8,18,210,340,340,340,110,0,4,8.957258772782303,1.9623860716819763,341.41981415450573,4.2
1739434582,2,,Aggregated,16.600000,0.000000,4,4,4,4,5,8,18,210,340,340,340,126,0,4,8.23411683271092,1.9623860716819763,341.41981415450573,4.0476190476190474
1739434583,2,,Aggregated,17.666667,0.000000,4,4,4,4,4,7,9,210,340,340,340,152,0,4,7.411007830677064,1.9623860716819763,341.41981415450573,3.8684210526315788
1739434584,2,,Aggregated,17.857143,0.000000,4,4,4,4,4,5,9,210,340,340,340,171,0,4,6.9906900620512795,1.9623860716819763,341.41981415450573,3.7719298245614037
1739434585,2,,Aggregated,17.857143,0.000000,3,4,4,4,4,7,18,210,340,340,340,196,0,3,6.622974461476717,1.9623860716819763,341.41981415450573,3.8979591836734695
1739434586,2,,Aggregated,18.777778,0.000000,3,4,4,4,4,7,9,18,340,340,340,215,0,3,6.372198635755583,1.9623860716819763,341.41981415450573,3.9209302325581397
1739434587,2,,Aggregated,19.600000,0.000000,3,4,4,4,4,6,9,18,340,340,340,234,0,3,6.125118953581804,1.9623860716819763,341.41981415450573,3.9401709401709404
1739434588,2,,Aggregated,19.600000,0.000000,3,4,4,4,4,5,9,18,340,340,340,248,0,3,5.98042227342845,1.9623860716819763,341.41981415450573,3.8870967741935485
1739434589,2,,Aggregated,20.500000,0.000000,3,4,4,4,4,5,9,18,340,340,340,263,0,3,5.830253297356825,1.9623860716819763,341.41981415450573,3.8365019011406845
1739434590,2,,Aggregated,20.500000,0.000000,3,4,4,4,4,5,9,18,340,340,340,284,0,3,5.660110887822131,1.9623860716819763,341.41981415450573,3.9295774647887325
1739434591,2,,Aggregated,19.600000,0.000000,3,4,4,4,4,5,9,18,340,340,340,294,0,3,5.583331178949804,1.9623860716819763,341.41981415450573,3.8979591836734695
1739434592,2,,Aggregated,20.100000,0.000000,3,4,4,4,4,5,8,18,340,340,340,316,0,3,5.420039970828574,1.9623860716819763,341.41981415450573,3.9050632911392404
1739434593,2,,Aggregated,18.800000,0.000000,3,4,4,4,4,5,8,18,340,340,340,339,0,3,5.289489831940263,1.9623860716819763,341.41981415450573,3.8436578171091447
1739434594,2,,Aggregated,18.800000,0.000000,3,4,4,4,4,5,8,18,340,340,340,358,0,3,5.195188107145898,1.9623860716819763,341.41981415450573,3.798882681564246
1739434595,2,,Aggregated,18.800000,0.000000,3,4,4,4,4,5,8,18,340,340,340,375,0,3,5.1392145454883575,1.9623860716819763,341.41981415450573,3.9386666666666668
1739434596,2,,Aggregated,18.700000,0.000000,3,4,4,4,4,5,8,18,340,340,340,392,0,3,5.065520987750924,1.9623860716819763,341.41981415450573,3.8979591836734695
1739434597,2,,Aggregated,17.800000,0.000000,3,4,4,4,4,5,7,9,340,340,340,409,0,3,5.014504053263326,1.9623860716819763,341.41981415450573,4.02200488997555
1739434598,2,,Aggregated,17.800000,0.000000,3,4,4,4,4,6,8,9,340,340,340,421,0,3,4.99362946485751,1.9623860716819763,341.41981415450573,4.097387173396674
1739434599,2,,Aggregated,17.800000,0.000000,3,4,4,4,4,6,8,9,340,340,340,442,0,3,4.9194195897769335,1.9623860716819763,341.41981415450573,4.095022624434389
1739434600,2,,Aggregated,17.200000,0.000000,3,4,4,4,4,5,7,9,340,340,340,463,0,3,4.849058646330565,1.9623860716819763,341.41981415450573,4.045356371490281
1739434601,2,,Aggregated,18.000000,0.000000,3,4,4,4,4,5,7,9,340,340,340,483,0,3,4.775943807239488,1.9623860716819763,341.41981415450573,4.0020703933747415
1739434602,2,,Aggregated,17.700000,0.000000,3,4,4,4,4,5,7,9,340,340,340,499,0,3,4.725540807108602,1.9623860716819763,341.41981415450573,3.969939879759519
1739434603,2,,Aggregated,18.800000,0.000000,3,4,4,4,4,5,7,9,340,340,340,520,0,3,4.684922702682133,1.9623860716819763,341.41981415450573,3.973076923076923
1739434604,2,,Aggregated,18.500000,0.000000,3,4,4,4,4,5,7,9,340,340,340,535,0,3,4.668408888174552,1.9623860716819763,341.41981415450573,3.986915887850467
1739434605,2,,Aggregated,18.000000,0.000000,3,4,4,4,4,5,7,9,340,340,340,555,0,3,4.62162244125261,1.9623860716819763,341.41981415450573,3.990990990990991
