Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1741160730,16,,Aggregated,86.200000,0.100000,7,10,11,12,16,21,28,37,99,150,150,1215,1,7,9.44921997672334,1.7093400238081813,147.8732210234739,7360.9604938271605
1741160730,17,,Aggregated,86.200000,0.100000,8,10,11,13,16,21,28,37,99,150,150,1271,1,8,9.512546196394732,1.7093400238081813,147.8732210234739,7387.062155782848
1741160731,17,,Aggregated,93.700000,0.100000,8,10,12,13,17,22,29,37,99,150,150,1349,1,8,9.743971061313578,1.7093400238081813,147.8732210234739,7329.390659747962
1741160731,18,,Aggregated,93.700000,0.100000,8,10,12,13,17,22,29,38,99,150,150,1418,1,8,10.017475094410594,1.7093400238081813,147.8732210234739,7411.198166431594
1741160732,18,,Aggregated,101.500000,0.100000,8,11,13,14,18,23,29,38,99,150,150,1503,1,8,10.309268556029771,1.7093400238081813,147.8732210234739,7329.268130405855
1741160732,19,,Aggregated,101.500000,0.100000,8,11,13,14,18,23,29,38,99,150,150,1580,1,8,10.356484382148814,1.7093400238081813,147.8732210234739,7346.079113924051
1741160733,19,,Aggregated,108.800000,0.000000,9,11,13,14,18,23,29,38,99,150,150,1659,1,9,10.499940912533695,1.7093400238081813,147.8732210234739,7279.613019891501
1741160733,20,,Aggregated,108.800000,0.000000,9,11,13,14,19,23,29,38,99,150,150,1747,1,9,10.611912553460787,1.7093400238081813,147.8732210234739,7234.847166571265
1741160734,20,,Aggregated,117.600000,0.000000,9,12,13,15,19,23,29,38,99,150,150,1830,1,9,10.780325160639187,1.7093400238081813,147.8732210234739,7219.351912568306
1741160734,21,,Aggregated,117.600000,0.000000,9,11,13,15,19,23,29,38,99,150,150,1914,1,9,10.779518868371284,1.7093400238081813,147.8732210234739,7280.9435736677115
1741160735,21,,Aggregated,124.800000,0.000000,9,12,13,15,19,23,29,37,96,150,150,2001,1,9,10.85256858923317,1.7093400238081813,147.8732210234739,7279.499250374813
1741160735,22,,Aggregated,124.800000,0.000000,9,12,13,15,19,23,29,38,96,150,150,2096,1,9,10.92150857926365,1.7093400238081813,147.8732210234739,7317.505725190839
1741160736,22,,Aggregated,131.800000,0.000000,9,11,13,15,19,23,29,38,96,150,150,2203,1,9,10.793358328719668,1.7093400238081813,147.8732210234739,7339.77258284158
1741160736,23,,Aggregated,131.800000,0.000000,9,11,13,14,18,23,29,37,96,150,150,2312,1,9,10.670081230657292,1.7093400238081813,147.8732210234739,7256.968425605536
1741160737,23,,Aggregated,139.500000,0.000000,9,11,13,14,18,23,29,38,96,150,150,2413,1,9,10.714694627142777,1.7093400238081813,147.8732210234739,7454.113551595524
1741160737,24,,Aggregated,139.500000,0.000000,9,11,13,14,18,23,29,38,96,150,150,2527,1,9,10.658088436675563,1.7093400238081813,147.8732210234739,7473.173723783142
